id_str,created_at,retweeted_status.user.screen_name,text,entities.user_mentions.0.screen_name,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.urls.0.url,entities.media.0.media_url,retweet_count
469884214721380352,Fri May 23 16:55:01 +0000 2014,"",The best way to #endfistula is to prevent it - today is Intl Day to End Obstetric #Fistula:  http://t.co/m4dOj0cGe2 @UNFPA @UN,UNFPA,endfistula,Fistula,"","",http://pbs.twimg.com/media/BoUlKu-IEAALmQO.png,242
469874955505905664,Fri May 23 16:18:13 +0000 2014,"",Join @neymarjr and download #ProtejaBrasil app to protect children at #WorldCup2014 #ENDviolence @UnicefBrasil http://t.co/9hCfscEPej,neymarjr,ProtejaBrasil,WorldCup2014,ENDviolence,"",http://pbs.twimg.com/media/BoVUyExIQAE3PBe.jpg,175
469867289848713217,Fri May 23 15:47:46 +0000 2014,"",@AungMoeWin Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,AungMoeWin,"","","",http://t.co/kiY2ez3Lgf,"",4
469860271209848832,Fri May 23 15:19:52 +0000 2014,"",#BringBackOurGirls: 276 @UNICEFUSA Young Ambassadors + supporters in LA show their support for girls of #Nigeria http://t.co/1RUc9NirGR,unicefusa,BringBackOurGirls,Nigeria,"","",http://pbs.twimg.com/media/BoPxy2ZCcAAd6VC.jpg,487
469856062745501697,Fri May 23 15:03:09 +0000 2014,"",@uscb Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,uscb,"","","",http://t.co/kiY2ez3Lgf,"",4
469856020299149314,Fri May 23 15:02:59 +0000 2014,"",@jlwilliamsjr Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,jlwilliamsjr,"","","",http://t.co/kiY2ez3Lgf,"",3
469855984060338176,Fri May 23 15:02:50 +0000 2014,"",@OddnyGumaer Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,OddnyGumaer,"","","",http://t.co/kiY2ez3Lgf,"",3
469855795165679617,Fri May 23 15:02:05 +0000 2014,"",@belzig Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,"","","","",http://t.co/kiY2ez3Lgf,"",3
469855451853496320,Fri May 23 15:00:43 +0000 2014,"",@sophievodka Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,sophievodka,"","","",http://t.co/kiY2ez3Lgf,"",3
469855006326132736,Fri May 23 14:58:57 +0000 2014,"",@Genocide_Report Please read our response to get the facts: http://t.co/kiY2ez3Lgf Thanks,Genocide_Report,"","","",http://t.co/kiY2ez3Lgf,"",3
469745801246547969,Fri May 23 07:45:01 +0000 2014,"",It’s in your hands to protect children at #WorldCup2014. Download #ProtejaBrasil app to report violence http://t.co/ayvqJPOwEN #ENDviolence,"",WorldCup2014,ProtejaBrasil,ENDviolence,http://t.co/ayvqJPOwEN,"",111
469638344994226177,Fri May 23 00:38:01 +0000 2014,"",Brazilian President Dilma Rousseff meets the brains behind #ProtejaBrasil http://t.co/ayvqJPOwEN #WorldCup2014 http://t.co/Y71vpGiec0,"",ProtejaBrasil,WorldCup2014,"",http://t.co/ayvqJPOwEN,http://pbs.twimg.com/media/BoR9lhvIQAAZOKZ.jpg,81
469613427611430912,Thu May 22 22:59:00 +0000 2014,"","The painstaking, emotional process of helping a young #SouthSudan lost boy find his mother - one drawing at a time http://t.co/7ltzKWBuqq","",SouthSudan,"","",http://t.co/7ltzKWBuqq,"",92
469583468859764736,Thu May 22 20:59:58 +0000 2014,"","740,000 children under-5 at high risk of food insecurity, 50,000 may die of malnutrition #SouthSudan via @KentPage http://t.co/MaQentu49c",KentPage,SouthSudan,"","","",http://pbs.twimg.com/media/BoO8ERtIYAAqAlO.jpg,518
469553125775671296,Thu May 22 18:59:23 +0000 2014,"",RT @every_newborn Saving newborn &amp; maternal lives is possible. We call on all at #WHA67 to support #EveryNewborn http://t.co/qKT6HCjrSC,every_newborn,WHA67,EveryNewborn,"","",http://pbs.twimg.com/media/BoONtb8IYAEKVWz.jpg,192
469549309533650944,Thu May 22 18:44:13 +0000 2014,"","Each day, 18,000 children under 5 die of preventable causes. Let’s change that. #EveryNewborn via @gatesfoundation http://t.co/yEYtbhGTTf",gatesfoundation,EveryNewborn,"","","",http://pbs.twimg.com/media/BoQF578IYAIL90b.png,276
469521537075130368,Thu May 22 16:53:52 +0000 2014,"",@SE25A Hi Linda. We condemn the killing of children wherever it takes places.,SE25A,"","","","","",3
469506343305760769,Thu May 22 15:53:29 +0000 2014,"","Today, join @UN_Women and friends for all-day tweetathon to launch #Beijing20 campaign on #genderequality http://t.co/TqoL44c5IA",UN_Women,Beijing20,genderequality,"","",http://pbs.twimg.com/media/BoQFiBYIEAAshUd.jpg,224
469441295363358720,Thu May 22 11:35:01 +0000 2014,"",BLOG: negotiating access around #Aleppo to reach #childrenofsyria with vital aid  #Syria. Via @HuffPostUK http://t.co/3VMAsxmVAP,HuffPostUK,Aleppo,childrenofsyria,Syria,http://t.co/3VMAsxmVAP,"",42
469438780924252160,Thu May 22 11:25:01 +0000 2014,"",5.7m #childrenofsyria’s lives have been turned upside down by conflict. #voicesofchildren @eu_echo http://t.co/3eFOn7ofKd,eu_echo,childrenofsyria,voicesofchildren,"","",http://pbs.twimg.com/media/BoPIFW5IMAEbidi.jpg,568
469397506129137665,Thu May 22 08:41:01 +0000 2014,"",#BalkanFloods: Get updates on our work helping children affected via @unicefsrbija @UNICEFBiH @UNICEFHrvatska http://t.co/Y8PVxF7965,unicefsrbija,BalkanFloods,"","","",http://pbs.twimg.com/media/BoOii2aIUAAfLQI.jpg,247
469325534766563328,Thu May 22 03:55:01 +0000 2014,"",.@savethechildren gave cameras to #childrenofsyria in #Zaatari. The results are amazing  http://t.co/lBucVc7Ok1 via @buzzfeed @unicefmena,SavetheChildren,childrenofsyria,Zaatari,"",http://t.co/lBucVc7Ok1,"",168
469285267023863808,Thu May 22 01:15:01 +0000 2014,"",Clean hands reduce #cholera risk. Our hand-washing station at #Juba treatment centre #SouthSudan. Via @KentPage http://t.co/Uj84RqOyIi,KentPage,cholera,Juba,SouthSudan,"",http://pbs.twimg.com/media/BoIyGbSCcAA_KTB.jpg,232
469254061918011392,Wed May 21 23:11:01 +0000 2014,"","Since 1990, newborn deaths have reduced by &gt;1/3. See more #childrights achievements at http://t.co/cZthdFZW8t http://t.co/NIV2fyqkBA","",childrights,"","",http://t.co/cZthdFZW8t,http://pbs.twimg.com/media/BoMgFTtIAAAr128.jpg,249
469228645719228416,Wed May 21 21:30:01 +0000 2014,"",Check out @UnicefBrasil app #ProtejaBrasil to report violence against children in #Brazil http://t.co/ayvqJPOwEN #ENDviolence,unicefbrasil,ProtejaBrasil,Brazil,ENDviolence,http://t.co/ayvqJPOwEN,"",62
469216867681189888,Wed May 21 20:43:13 +0000 2014,unicefturk,RT @unicefturk: . @TubaBustun has joined @unicefturk to advocate children’s rights and has been appointed as a Goodwill Ambassador! http://…,unicefturk,"","","","",http://pbs.twimg.com/media/BoJq_odIQAAOtTS.jpg,122
469214691659907073,Wed May 21 20:34:34 +0000 2014,"","Meet Mama Sophie, who has worked for @UNICEF_CAR’s education team for 19 years, in latest Faces of UNICEF http://t.co/qIiLDpNceh",UNICEF_CAR,"","","",http://t.co/qIiLDpNceh,"",34
469197456778223616,Wed May 21 19:26:05 +0000 2014,MiaFarrow,RT @MiaFarrow: Enter to win a walk on role in @StarWars:Ep VII and support @UNICEF programs for kids. Be a #Force4Change! http://t.co/NKlHS…,MiaFarrow,Force4Change,"","",http://t.co/NKlHSZ9zJe,"",68
469197439560589312,Wed May 21 19:26:01 +0000 2014,"","""Life here is very different. I feel lost"" Lend your voice for Aya and children like her http://t.co/3P9tTB5fVx #voicesofchildren","",voicesofchildren,"","",http://t.co/3P9tTB5fVx,"",73
469172222754439169,Wed May 21 17:45:49 +0000 2014,guardian,RT @guardian: JJ Abrams offers part in Star Wars: Episode VII for Unicef campaign http://t.co/1DHfLAxDpE @UNICEF #starwars,guardian,starwars,"","",http://t.co/1DHfLAxDpE,"",97
469153727815774208,Wed May 21 16:32:19 +0000 2014,GlobalEduFirst,RT @GlobalEduFirst: “Education Under Attack” report documents an alarming trend of targeted attacks on education http://t.co/tcRxSwQenB #Ac…,GlobalEduFirst,ActToProtect,"","",http://t.co/tcRxSwQenB,"",56
469153702725427202,Wed May 21 16:32:13 +0000 2014,UNICEFEducation,"RT @UNICEFEducation: Since 2011, nearly 3 million children in #Syria have dropped out of school - @UNICEF's Deputy Exec Dir Yoka Brandt #Ac…",UNICEFEducation,Syria,ActToProtect,"","","",71
469148461276073984,Wed May 21 16:11:24 +0000 2014,"","NOW: #ActToProtect schools &amp; hospitals from conflict @childreninwar event, watch: http://t.co/7ruR3VkooH Follow @UNICEFEducation for updates",childreninwar,ActToProtect,"","",http://t.co/7ruR3VkooH,"",46
469147717521137664,Wed May 21 16:08:26 +0000 2014,"","RT @UNICEFEducation Read the @EFAREport, ""The hidden crisis: Armed conflict and education"": http://t.co/K6l7EpIFlD  #ActToProtect",UNICEFEducation,ActToProtect,"","",http://t.co/K6l7EpIFlD,"",34
