name,twitter,followers,followees,location,link,ratio
Neil Steggall,@barkingmadblog,11405,10009,Melbourne Australia,https://twitter.com/barkingmadblog,1.1394744729743231
John Cook,@skepticscience,11352,202,Australia,https://twitter.com/skepticscience,56.198019801980195
Women on Boards Aus,@Womenonboards,11306,5504,Australia,https://twitter.com/Womenonboards,2.0541424418604652
Protect Our CoralSea,@protectcoralsea,11299,1881,Australia,https://twitter.com/protectcoralsea,6.006911217437533
Atlantic,@atlantic,11172,2165,,https://twitter.com/atlantic,5.16027713625866
GoodGuide,@GoodGuide,11168,1178,San Francisco,https://twitter.com/GoodGuide,9.480475382003396
FYA,@fya_org,11146,1689,Australia,https://twitter.com/fya_org,6.599171107164002
SeafoodSource.com,@SeafoodSource,11099,5240,"Portland, Maine",https://twitter.com/SeafoodSource,2.1181297709923665
StrOceanSolutions,@Healthy_Ocean,11097,5773,"San Diego, CA & Miami, FL",https://twitter.com/Healthy_Ocean,1.922224146890698
Current Green,@current_green,11081,3921,Current TV and Current.com Pla,https://twitter.com/current_green,2.826064779393012
Daniel Hurst,@danielhurstbne,11066,5492,"Canberra, formerly Brisbane",https://twitter.com/danielhurstbne,2.0149308084486526
Bradley C Hughes,@Entregreeneur,11060,12082,"Coogee, NSW",https://twitter.com/Entregreeneur,0.9154113557358053
Sthlm Resilience,@sthlmresilience,11023,2233,Stockholm,https://twitter.com/sthlmresilience,4.93640841916704
Pro Bono Australia,@ProBonoAust,10996,2154, Australia ,https://twitter.com/ProBonoAust,5.1049210770659235
