name,# followers,followees,location,link,ratio
@CMRTODAY,126167,719796,"Nashville, Tennessee",https://twitter.com/CMRTODAY,0.1752816075665883
@JimHarris,125424,83388,"Toronto, Canada",https://twitter.com/JimHarris,1.5041013095409412
@RealAndyMagro,123482,12576,Los Angeles & Rome,https://twitter.com/RealAndyMagro,9.818861323155216
@WorldResources,117751,10740,"BRA, CHN, EUR, IND, IDN, USA",https://twitter.com/WorldResources,10.963780260707635
@SilentOilSpills,113807,69313,Wherever clean water is valued,https://twitter.com/SilentOilSpills,1.6419286425345894
@ClassierDeals,112089,54612,Chicago far far North Suburbs,https://twitter.com/ClassierDeals,2.0524609975829486
@fdncenter,111881,1157,United States,https://twitter.com/fdncenter,96.69922212618842
@maggietranquila,111152,60154,San Diego,https://twitter.com/maggietranquila,1.8477906706120957
@POP__VALER,107590,114767,TRANSYLVANIA    ,https://twitter.com/POP__VALER,0.9374646021940105
@Sociafy,106988,49947,"Chicago, IL",https://twitter.com/Sociafy,2.1420305523855285
@EnvDefenseFund,106855,4207,"New York, New York",https://twitter.com/EnvDefenseFund,25.399334442595674
@cityofsydney,106843,814,"Sydney, Australia",https://twitter.com/cityofsydney,131.25675675675674
@GetUp,104641,6456,Australia,https://twitter.com/GetUp,16.208333333333332
@KStarry,103490,81061,Orlando,https://twitter.com/KStarry,1.2766928609318908
@BlueWaterDays,102946,56312,United States of America,https://twitter.com/BlueWaterDays,1.8281360988776816
@USGBC,99841,25455,"Washington, DC",https://twitter.com/USGBC,3.9222549597328618
@AustralianLabor,96253,15358,Australia,https://twitter.com/AustralianLabor,6.267287407214481
@CrowdTCause,96154,112216,Worldwide,https://twitter.com/CrowdTCause,0.8568653311470735
@Pro_Aus_Com,95133,104529,Sydney,https://twitter.com/Pro_Aus_Com,0.910111069655311
@idealist,94752,4896,"New York, NY / Portland, OR",https://twitter.com/idealist,19.352941176470587
@food_democracy,92856,58098,Earth,https://twitter.com/food_democracy,1.598265000516369
@TeeNonProfit,92408,110768,,https://twitter.com/TeeNonProfit,0.8342481583128701
@JohnButlerTrio,89767,364,Australia,https://twitter.com/JohnButlerTrio,246.61263736263737
@mumbrella,88614,24374,"Sydney, Australia",https://twitter.com/mumbrella,3.6355953064741118
@pocockdavid,87904,622,"Canberra, ACT",https://twitter.com/pocockdavid,141.32475884244374
@612brisbane,87598,39589,"Brisbane, Australia",https://twitter.com/612brisbane,2.212685341887898
@climatesavers,87548,13996,Global,https://twitter.com/climatesavers,6.255215775935982
@StartUpsBio,87116,88814,Worldwide,https://twitter.com/StartUpsBio,0.9808813925732429
@Colvinius,86975,2743,@amworldtodaypm ,https://twitter.com/Colvinius,31.707983959168793
@CrowdTNGO,86773,90581,Worldwide,https://twitter.com/CrowdTNGO,0.957960278645632
@EcoWatch,86638,19964,,https://twitter.com/EcoWatch,4.339711480665198
@StartUpsGreen,85636,86393,Worldwide,https://twitter.com/StartUpsGreen,0.991237716018659
@ConversationEDU,84673,1604,Australia,https://twitter.com/ConversationEDU,52.78865336658354
@CrowdTAssoc,83380,85609,Worldwide,https://twitter.com/CrowdTAssoc,0.9739630179069958
@AdamBandt,82709,20839,Melbourne,https://twitter.com/AdamBandt,3.9689524449349776
@OFFICIALMLTR,82357,57311,Listen free Spotify link below,https://twitter.com/OFFICIALMLTR,1.437019071382457
@GreenNewsDaily,82187,63984,"Charlottesville, VA",https://twitter.com/GreenNewsDaily,1.2844929982495623
@molfamily,81948,40594,"McMinnville, OR",https://twitter.com/molfamily,2.01872197861753
@lauraoncesmilez,81649,1611,,https://twitter.com/lauraoncesmilez,50.682184978274364
@9NewsBrisbane,81140,10063,"Brisbane, Australia ",https://twitter.com/9NewsBrisbane,8.063201828480572
@Earthjustice,81103,20233,Planet Earth,https://twitter.com/Earthjustice,4.008451539564079
@RumiShishido,80104,87069,,https://twitter.com/RumiShishido,0.9200059722748625
@Lost_on_ABC,79955,25584,Somewhere in the South Pacific,https://twitter.com/Lost_on_ABC,3.125195434646654
@StartUpsRecycle,79418,82680,Worldwide,https://twitter.com/StartUpsRecycle,0.9605466860183841
@EssendonFC,76246,28725,@TrueValueSolar Centre,https://twitter.com/EssendonFC,2.6543429068755438
@Earth911,73806,6308,"Dallas, TX",https://twitter.com/Earth911,11.700380469245403
@MatadorNetwork,73096,12416,Worldwide ,https://twitter.com/MatadorNetwork,5.887242268041237
@TomCBallard,72868,5282,Australia,https://twitter.com/TomCBallard,13.795531995456267
@katharnavas,72280,81034,India,https://twitter.com/katharnavas,0.8919712713182121
@YaleE360,71719,2253,"New Haven, CT",https://twitter.com/YaleE360,31.832667554371948
@CarltonFC,68882,36249,Ikon Park,https://twitter.com/CarltonFC,1.9002455240144556
@Intrepid_Travel,68424,5795,Worldwide,https://twitter.com/Intrepid_Travel,11.80742018981881
@Wilderness,67999,4564,United States,https://twitter.com/Wilderness,14.898992112182297
@Sierra_Magazine,67539,16193,"San Francisco, CA",https://twitter.com/Sierra_Magazine,4.170876304576051
@SproutSocial,66504,26489,"Chicago, IL, USA",https://twitter.com/SproutSocial,2.5106270527388728
@theintlwanderer,66301,96666,,https://twitter.com/theintlwanderer,0.6858771439803033
@Barnaby_Joyce,65168,814,,https://twitter.com/Barnaby_Joyce,80.05896805896806
@Ways2GoGreen,63931,56450,"Louisville, Kentucky",https://twitter.com/Ways2GoGreen,1.1325243578387953
@IUCN,62613,1455,"Gland, Switzerland",https://twitter.com/IUCN,43.03298969072165
@Defenders,62374,4093,"Washington, DC",https://twitter.com/Defenders,15.239188859027609
@wicara,61764,45899,Australia,https://twitter.com/wicara,1.345650232031199
@theTiser,61154,24576,"Adelaide, South Australia",https://twitter.com/theTiser,2.4883626302083335
@AlternativeNRG,60836,64985,Australia,https://twitter.com/AlternativeNRG,0.9361544971916597
@JamesJohnsonCHR,60028,63634,,https://twitter.com/JamesJohnsonCHR,0.9433321809095766
@triplejHack,58614,3880,Australia,https://twitter.com/triplejHack,15.106701030927836
@Optus,57338,9298,Australia,https://twitter.com/Optus,6.166702516670251
@diana_dehm_snae,57203,18634,"Los Angeles, CA",https://twitter.com/diana_dehm_snae,3.069818611140925
@Lionheart0075,56222,52195,"Camberwell, Victoria Australia",https://twitter.com/Lionheart0075,1.077152984002299
@amworldtodaypm,55777,2512,Australia,https://twitter.com/amworldtodaypm,22.20421974522293
@SilkCharm,55298,49102,"Sydney, Australia",https://twitter.com/SilkCharm,1.1261863060567798
@lenoretaylor,54400,2015,Canberra,https://twitter.com/lenoretaylor,26.997518610421835
@Lesscancer,53996,41981,Global,https://twitter.com/Lesscancer,1.2862009004073272
